Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z,Frame,Filename,Pixels,Shape,Adjusted_Pixels,Adjusted_Length
12036-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12036-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12036-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12036-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12036-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12035-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12035-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12035-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
11842-12705,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,2,manga-11842-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
11841-12705,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2,manga-11841-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12028-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12028-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12028-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12028-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12028-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12028-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
