Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z
10221-1901,0.19643829243213967,61.47292849181648,0.013729999999999996,4116.150448339999,-30.15121367929337,46.75229151743972,26.154320654414033
10221-1902,0.2926860565645296,92.51960018356836,0.0205591,6163.463123267799,-46.19031063186364,70.30000446120265,38.52584839577416
10221-3701,0.5605480910236006,182.261056158131,0.039929900000000004,11970.6828686942,-92.40377896031103,138.50549728408637,74.1408217368765
10221-3702,0.7709400566110441,256.33296628331857,0.05553510000000001,16649.0041342758,-124.61277312283217,195.41710960274372,109.50068334376608
10221-3703,0.3922359370246876,125.2905223726689,0.0276947,8302.6621865726,-61.09936018781149,95.57803388082318,53.192317307413276
10221-3704,0.5571210505288521,181.0811022745019,0.0396786,11895.3450239988,-90.88146550536165,136.54251537980147,76.727220217489
10221-6101,0.2956039530265691,93.4705455534652,0.0207672,6225.849933777599,-46.63220137363386,71.08459897976479,38.84791460293967
10221-6102,1.3405472086612882,473.9369150342869,0.0996283,29867.8129433614,-236.21572651644547,362.38172954636656,193.6435180157312
10221-6103,0.480330297602913,154.86049575795005,0.034071500000000005,10214.378732747,-77.0938224353097,117.10777832006396,65.75776718874936
10221-6104,0.353049186462192,112.30974088346753,0.024877,7457.936977666,-58.1591234460461,83.99777356253088,46.640843622698085
10221-9101,0.5085204882396849,164.4376579687316,0.0361246,10829.8826282668,-78.90284167422301,127.2926935509356,67.90180485466976
10221-9102,0.19841539837273683,62.104466072519514,0.013869600000000001,4158.0014754768,-32.243482123185885,46.96201754063354,24.736440229704595
10222-12701,0.23918882102914005,75.18646486446819,0.016754899999999996,5022.992654544199,54.296049105224604,50.80491067285801,-11.126751632972974
10222-12702,0.8612223274699068,289.1249670011848,0.0623407,18689.2716864406,205.9377892505099,198.48238356011194,-42.28021899594879
10222-12703,0.41255519455775674,132.06304203801557,0.0291603,8742.0380130174,93.56247830471813,91.92072059006252,-15.404247856272379
10222-12704,0.9737050343002301,330.8516763265134,0.070914,21259.482366612,239.3659118394145,224.48118219391435,-42.13063989749331
10222-12705,0.6160899677456058,201.50206333053438,0.0440155,13195.514935099,140.7402309469541,141.25846152557966,-29.005447193364382
10222-1901,0.4249367928598785,136.20392283487067,0.0300549,9010.2323459442,95.95287539096721,95.10522939182322,-17.307502481340595
10222-1902,0.4190095840727031,134.22030936928041,0.029626500000000004,8881.801256937,93.94866715327855,94.32833227749089,-17.05594081412964
10222-3701,0.7906182736829476,263.4280454246919,0.057012799999999995,17092.0074494624,189.2563455782547,178.67073513133394,-40.658814324405654
10222-3702,0.4655984215555263,149.87783146284661,0.033001,9893.450906458,108.75288123905203,101.60944349885963,-17.654919372858956
10222-3703,0.43329557836008964,139.00544395918797,0.030659500000000003,9191.486866051,99.96714341048546,94.938246998791,-17.771126735098573
10222-3704,1.0782615675536789,370.52431219078477,0.0789788,23677.2485818904,260.8632003697475,256.73319011079116,-57.67777486036923
10222-6101,0.42465047889276575,136.10804823520036,0.0300342,9004.0266420636,99.60538006272765,90.71709038416553,-19.354032375356457
10222-6102,0.3072232911147516,97.26301638230134,0.0215965,6474.467819197,70.92193896699642,65.11070492989228,-13.811916321711413
10222-6103,0.8560368101047134,287.22479015695967,0.06194800000000001,18571.543188184,207.87284965077896,193.74201174902993,-41.84484845489246
